output_csv_path,SENTENCE_NAME,SENTENCE,sentence_decoder,beam_size,top_k
EhYk6e-jtWg_0-3-rgb_front_W32_S32.csv,EhYk6e-jtWg_0-3-rgb_front,"Alright, the drink that we are about to make is a Claridge Cocktail.",this is a mock sentence,5,10
46Cwjrd4ua4_0-2-rgb_front_W32_S32.csv,46Cwjrd4ua4_0-2-rgb_front,"Now the next environmental factors that you want to look at are the date, and the year.",this is a mock sentence,5,10
1QmgK8f5JnY_0-1-rgb_front_W32_S32.csv,1QmgK8f5JnY_0-1-rgb_front,"Hello, my names Rebecca Herrick, I'm a licensed massage therapist in Wilmington, North Carolina and I'm here to give my review on Massage Parlors.",this is a mock sentence,5,10
4VXvnpxTEEw_0-1-rgb_front_W32_S32.csv,4VXvnpxTEEw_0-1-rgb_front,In this next clip we're going to talk about wind chill and wind chill factors.,this is a mock sentence,5,10
d_0dt3VdYCo_0-8-rgb_front_W32_S32.csv,d_0dt3VdYCo_0-8-rgb_front,"In tennis, a lot of times you're going to get shots that aren't standardized, that you're not really prepared for unless you play a lot.",this is a mock sentence,5,10
C9ordUxwOEQ_0-5-rgb_front_W32_S32.csv,C9ordUxwOEQ_0-5-rgb_front,This is a tire pressure gauge.,this is a mock sentence,5,10
eahjYz2685g_0-8-rgb_front_W32_S32.csv,eahjYz2685g_0-8-rgb_front,"Now another important thing for you to remember, and this is going to be a little difficult, because we all tend to like to please people, we all tend to like accolades and praise.",this is a mock sentence,5,10
Eh2AVkAQsxI_0-5-rgb_front_W32_S32.csv,Eh2AVkAQsxI_0-5-rgb_front,"Hi I'm Lauren, I'm going to be discussing how to add natural highlights at home.",this is a mock sentence,5,10
cYtd23-StEw_0-8-rgb_front_W32_S32.csv,cYtd23-StEw_0-8-rgb_front,Hi.,this is a mock sentence,5,10
d_V_K6ziiNA_0-8-rgb_front_W32_S32.csv,d_V_K6ziiNA_0-8-rgb_front,"Knots have a long and varied history throughout time, and today I'm going to show you how to make one of the great ones.",this is a mock sentence,5,10
0oGfy530AuI_0-1-rgb_front_W32_S32.csv,0oGfy530AuI_0-1-rgb_front,MICHAEL ROSENGART: Thrusters.,this is a mock sentence,5,10
eRiOhdeskNE_0-8-rgb_front_W32_S32.csv,eRiOhdeskNE_0-8-rgb_front,Alright we've just completed our two flowers.,this is a mock sentence,5,10
3HCjTYIijec_0-2-rgb_front_W32_S32.csv,3HCjTYIijec_0-2-rgb_front,Urban legends are often the unwritten beliefs that people have and announce to others.,this is a mock sentence,5,10
C4lsh3mZ4jU_0-5-rgb_front_W32_S32.csv,C4lsh3mZ4jU_0-5-rgb_front,Hi!,this is a mock sentence,5,10
cwLJfXFf9ks_0-8-rgb_front_W32_S32.csv,cwLJfXFf9ks_0-8-rgb_front,The principles of Aikido can be applied to daily life in many different situations.,this is a mock sentence,5,10
1-xK5UtDSmE_0-2-rgb_front_W32_S32.csv,1-xK5UtDSmE_0-2-rgb_front,"We're going to look at it from several aspects and the first thing that I would want to speak to would be the owner of the business, the CEO and in my profession, and I work for a company that provides wellness programs.",this is a mock sentence,5,10
ETOZLBScxWY_0-5-rgb_front_W32_S32.csv,ETOZLBScxWY_0-5-rgb_front,"Hi, this is John Stewart and this is some repair tips for your tent.",this is a mock sentence,5,10
39FN42e41r0_0-1-rgb_front_W32_S32.csv,39FN42e41r0_0-1-rgb_front,"MICHAEL ROSENGART: Right now, I'm here with two personal trainers, Ryan Regensburg and Jonesy and we're doing some renegade rows.",this is a mock sentence,5,10
48Hj_AyP3Fk_0-2-rgb_front_W32_S32.csv,48Hj_AyP3Fk_0-2-rgb_front,Hello.,this is a mock sentence,5,10
EjzQn4ReeeI_0-3-rgb_front_W32_S32.csv,EjzQn4ReeeI_0-3-rgb_front,"Alright, in this clip we'll be doing the upper body on our cute, more cartoonized angel, and we're just going to give him a simple, white robe.",this is a mock sentence,5,10
3EjKvwck6ss_0-1-rgb_front_W32_S32.csv,3EjKvwck6ss_0-1-rgb_front,"Now that we've blow dried and separated all the sub-sections, what we're going to do is go ahead and start with our finishing products.",this is a mock sentence,5,10
bbSKqkE4EBs_0-8-rgb_front_W32_S32.csv,bbSKqkE4EBs_0-8-rgb_front,In this segment we're going to take a moment to talk about the benefits of Qigong breathing.,this is a mock sentence,5,10
11JT4jRNI-o_0-2-rgb_front_W32_S32.csv,11JT4jRNI-o_0-2-rgb_front,Let's go to the squat position now and add the tubing into that.,this is a mock sentence,5,10
DfnHNkTE7mE_0-5-rgb_front_W32_S32.csv,DfnHNkTE7mE_0-5-rgb_front,I got my first job back in 1984 on a TV series called Miami Vice.,this is a mock sentence,5,10
