output_csv_path,SENTENCE_NAME,SENTENCE,sentence_decoder,beam_size,top_k,window_size,stride,BLEU,ROUGE-1,ROUGE-L,Cosine
EhYk6e-jtWg_0-3-rgb_front_W32_S32.csv,EhYk6e-jtWg_0-3-rgb_front,"Alright, the drink that we are about to make is a Claridge Cocktail.",this is a mock sentence,5,10,32,32,0.0,22.22,22.22,7.97
46Cwjrd4ua4_0-2-rgb_front_W32_S32.csv,46Cwjrd4ua4_0-2-rgb_front,"Now the next environmental factors that you want to look at are the date, and the year.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
1QmgK8f5JnY_0-1-rgb_front_W32_S32.csv,1QmgK8f5JnY_0-1-rgb_front,"Hello, my names Rebecca Herrick, I'm a licensed massage therapist in Wilmington, North Carolina and I'm here to give my review on Massage Parlors.",this is a mock sentence,5,10,32,32,0.0,6.45,6.45,0.0
4VXvnpxTEEw_0-1-rgb_front_W32_S32.csv,4VXvnpxTEEw_0-1-rgb_front,In this next clip we're going to talk about wind chill and wind chill factors.,this is a mock sentence,5,10,32,32,0.0,9.52,9.52,6.12
d_0dt3VdYCo_0-8-rgb_front_W32_S32.csv,d_0dt3VdYCo_0-8-rgb_front,"In tennis, a lot of times you're going to get shots that aren't standardized, that you're not really prepared for unless you play a lot.",this is a mock sentence,5,10,32,32,0.0,6.06,6.06,0.0
C9ordUxwOEQ_0-5-rgb_front_W32_S32.csv,C9ordUxwOEQ_0-5-rgb_front,This is a tire pressure gauge.,this is a mock sentence,5,10,32,32,0.0,54.55,54.55,29.12
eahjYz2685g_0-8-rgb_front_W32_S32.csv,eahjYz2685g_0-8-rgb_front,"Now another important thing for you to remember, and this is going to be a little difficult, because we all tend to like to please people, we all tend to like accolades and praise.",this is a mock sentence,5,10,32,32,0.0,15.38,15.38,7.41
Eh2AVkAQsxI_0-5-rgb_front_W32_S32.csv,Eh2AVkAQsxI_0-5-rgb_front,"Hi I'm Lauren, I'm going to be discussing how to add natural highlights at home.",this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
cYtd23-StEw_0-8-rgb_front_W32_S32.csv,cYtd23-StEw_0-8-rgb_front,Hi.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
d_V_K6ziiNA_0-8-rgb_front_W32_S32.csv,d_V_K6ziiNA_0-8-rgb_front,"Knots have a long and varied history throughout time, and today I'm going to show you how to make one of the great ones.",this is a mock sentence,5,10,32,32,0.0,6.67,6.67,0.0
0oGfy530AuI_0-1-rgb_front_W32_S32.csv,0oGfy530AuI_0-1-rgb_front,MICHAEL ROSENGART: Thrusters.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
eRiOhdeskNE_0-8-rgb_front_W32_S32.csv,eRiOhdeskNE_0-8-rgb_front,Alright we've just completed our two flowers.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
3HCjTYIijec_0-2-rgb_front_W32_S32.csv,3HCjTYIijec_0-2-rgb_front,Urban legends are often the unwritten beliefs that people have and announce to others.,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
C4lsh3mZ4jU_0-5-rgb_front_W32_S32.csv,C4lsh3mZ4jU_0-5-rgb_front,Hi!,this is a mock sentence,5,10,32,32,0.0,0.0,0.0,0.0
